Input file,Event Number,Species Code,Call,Start time,End time,Comments,Image,Audio
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:43,UF,Other,6/12/2022 3:13:18.5,6/12/2022 4:30:38.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:43,UF,Other,6/12/2022 3:05:23.5,6/12/2022 12:28:40.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:47,UF,Other,6/13/2022 2:57:31.5,6/13/2022 12:26:43.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:47,UF,Other,6/13/2022 3:03:26.5,6/13/2022 4:06:56.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:48,UF,Other,6/14/2022 3:15:19.5,6/14/2022 3:15:19.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:48,UF,Other,6/14/2022 3:23:14.5,6/14/2022 12:16:44.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:48,UF,Other,6/15/2022 3:23:16.5,6/15/2022 4:46:36.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:48,UF,Other,6/15/2022 3:23:16.5,6/15/2022 12:16:46.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:48,UF,Other,6/16/2022 3:23:13.5,6/16/2022 4:34:38.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:48,UF,Other,6/16/2022 3:21:13.5,6/16/2022 12:14:44.5,bocaccio,,
